"Attention! In order to avoid Brute Force Attacks it is strictly recommended that you change your URL to access the administrative area (from 'admin' to another word). Click in 'Read Details' to go to the settings and Click in 'Admin Base URL'. ","Atenção! Para evitar ataques de Brute Force, é fortemente recomendado que você altere sua URL para acessar a área administrativa (de 'admin' para outra palavra). Clique em 'Ler detalhes' para ir para as configurações e clique em 'Admin Base URL'. "
"Read details","Ler Detalhes"
"Do not use this feature if you have a dynamic IP address","Não use esta funcionalidade caso seu endereço IP for dinámico"
